Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Eritrea,ERI,,,,13.45476252,21.22141136,2.858379037,9.258838371,7.908684909,1.772582792,0.013480241,-3.141985774,8.75543519,3.005429218,-2.655515842,1.451735534,2.57444953,-0.969216929,1.42682206,-9.783030037,3.87650156,2.194190545,8.679799936,,,,,,
Spain,ESP,3.781393465,2.546000568,0.929215429,-1.031491775,2.383195316,2.757494033,2.674783588,3.689613998,4.305978447,4.48477443,5.289099595,4.001073835,2.879876097,3.187571476,3.166746501,3.723001788,4.174123186,3.768992408,1.11768686,-3.573751449,0.014063878,-0.998764958,-2.927750507,-1.705705,1.379997238,3.432253328,3.27446274,3.051719616
Estonia,EST,,,,,,,5.323844874,11.79861872,4.117257751,-0.856448276,10.56807495,6.328710504,6.076394702,7.416163365,6.294746225,9.373711454,10.27188409,7.748192368,-5.41945589,-14.72440391,2.259075894,7.597300209,4.307258988,1.936543444,2.890710968,1.674286623,2.063262785,4.854136829
Ethiopia,ETH,2.726451783,-7.137479708,-8.672480128,13.14283396,3.18996457,6.127511412,12.42617378,3.133906867,-3.458139148,5.162145824,6.073217492,8.301306322,1.514725693,-2.161359721,13.57260315,11.81876594,10.83472707,11.456167,10.78852168,8.802553202,12.55053834,11.17829624,8.647811635,10.58227004,10.25749296,10.39246302,7.56176669,10.24581085
European Union,EUU,2.973494621,1.428001098,1.059458257,-0.147189537,2.836744223,2.682218636,1.981936299,2.89478246,2.972624004,3.019019892,3.865064945,2.203957939,1.354091625,1.31441749,2.568904088,2.108886187,3.34804589,3.079397346,0.483846979,-4.348762085,2.100617664,1.706003477,-0.424744451,0.258024319,1.743221281,2.316113007,1.957070595,2.435083499
Fragile and conflict affected situations,FCS,14.86902276,-18.62574956,5.612145713,6.555627094,3.628524596,3.559989108,6.955752451,7.625911562,11.94248732,7.12515271,1.855969985,2.856259851,-0.428099185,-4.678054313,14.04278055,6.734900777,6.770492296,5.401146815,5.391188519,4.714530098,6.190742227,-5.451466484,14.07921357,3.6404464,1.084763601,2.188887527,4.298242127,3.443579705
Finland,FIN,0.675783494,-5.914425874,-3.32462938,-0.734493304,3.93926095,4.207130673,3.658833063,6.251807841,5.428512567,4.444134273,5.634847452,2.580792075,1.680325089,1.993984087,3.926057175,2.779955031,4.055197444,5.184800809,0.720668487,-8.269036558,2.992337502,2.570817745,-1.42618936,-0.758036295,-0.631728091,0.135082255,2.135381815,2.634254746
Fiji,FJI,5.800002719,-2.700002821,6.100001394,2.130031625,5.100000159,2.499998538,4.800000929,-2.200000762,1.300001962,8.799998029,-1.69999854,1.999999468,3.200000514,0.999998468,5.300000292,0.700000383,1.852483092,-0.850653535,1.032794215,-1.386037485,2.954672074,2.705142971,1.411313661,4.734220415,5.603514517,3.844407023,0.380003448,3.800000088
France,FRA,2.914009698,1.03910533,1.599671216,-0.612652837,2.345385598,2.085084531,1.38800403,2.337333406,3.556201255,3.407099148,3.875162259,1.954449424,1.118456891,0.819531669,2.786424111,1.607713814,2.3749469,2.361498874,0.195294767,-2.941341058,1.965657376,2.079229174,0.182693034,0.576241546,0.947586472,1.067461647,1.187650381,1.819400181
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
